DATE,CaO,SiO2,Al2O3,Fe2O3,MgO,SO3,K2O,Na2O,P2O5,TiO2,Total,LSF,SM,IM,C3A,R_wp (%),Alite_M3 (%),Alite_M1 (%),Alite_Sum (%),Fraction_M1 (%),Alite_CS (nm),Belite_alpha (%),Belite_beta (%),Belite_Sum (%),Alum_cubic (%),Alum_ortho (%),Alum_Sum (%),Ferrite (%),Lime (%),Portlandite (%),Periclase (%),Quartz (%),Arcanite (%),Langbeinite (%),Aphthitalite (%),Gypsum (%),Hemi-hydrate (%),Anhydrite (%),Calcite (%),Dolomite(%),SO3_XRD (%),CO2_XRD (%),Syngenite(%),Ettringite(%),Illite(%),LOI,Total Alkali,SSA,Res_45_um,EN 1D,EN 2D ,EN 7D,EN 28D ,Water consistency (%)-20C,Expansion (mm)-20C,Initial setting time (min) ,Final setting time (min) ,MC Water consistency (%),MC Initial Slump,MC 1st slump loss,MC 2nd slump loss,MC 9hours,MC 1D,MC 2D ,MC 3D,MC 7D,MC 28D ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Jul-21,64.46,19.38,4.69,3.41,1.16,2.95,0.68,0.05,0.04,0.31,97.03,100.61,2.39,1.38,6.66,8.55,42.19,23.24,65.43,35.52,235.97,2.13,6.57,8.71,1.57,1.15,2.72,11.97,0.18,1,0.4,0.37,0.7,0.2,0.14,0.61,1.63,0.1,5.72,0.12,1.74,2.58,,,,3.1,0.5,366,3.6,13.95,27.22,45.8,57.23,29.6,1,115,225,35.8,91,58,54,6.6,40.19,56.25,57.25,68.22,75.44,,,,,,,,,,,,,,,
9-Jul-21,64.42,18.36,4.54,3.44,1.19,3.1,0.63,0.05,0.05,0.32,96.1,105.51,2.3,1.32,6.21,8.67,41.46,23.43,64.89,36.1,243.15,2.72,6.63,9.35,2.09,0.7,2.78,12.5,0.12,0.82,0.47,0.33,0.88,0.11,0.12,0.74,1.55,0.12,5.21,0,1.79,2.29,,,,3.3,0.46,383,3.8,15.39,27.18,44.14,59.53,29.8,1,120,235,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jul-21,63.89,17.17,4.74,3.13,1,2.97,0.54,0.05,0.04,0.32,93.85,110.96,2.18,1.51,7.27,7.97,28.03,31.89,59.92,53.22,215.6,2.5,9.99,12.49,4.29,0.93,5.22,10.37,0.36,2.18,0.26,0.32,0.7,0.07,0.15,0.08,2.82,0.21,4.71,0.15,2.15,2.14,,,,3.2,0.41,376,4.1,14.97,26.46,41.24,55.61,29.8,1,115,210,36.07,90,55,49,5.25,44.58,58.39,59.38,68.91,75.25,,,,,,,,,,,,,,,
14-Jul-21,64.63,18.66,4.55,3.41,1.15,2.75,0.55,0.05,0.04,0.32,96.11,104.8,2.34,1.33,6.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,0.41,379,3.2,11.78,24.3,40.92,54.83,29.8,1,120,235,35.9,91,56,50,6.02,40.28,56.21,57.72,65.07,73.82,,,,,,,,,,,,,,,
16-Jul-21,64.32,18.49,5.61,3.07,1.18,3.1,0.66,0.05,0.05,0.36,96.89,102.92,2.13,1.83,9.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,0.48,391,4.5,16.62,28.63,43.92,58.68,29.8,1,120,210,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jul-21,64.42,18.78,5.68,3.01,1.1,2.8,0.67,0.05,0.05,0.33,96.89,101.99,2.16,1.89,9.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,0.49,368,4.7,15.41,25.16,44.12,55.57,29.6,1,115,205,35.8,92,58,52,6.43,41.15,58.04,59.02,66.06,77.31,,,,,,,,,,,,,,,
22-Jul-21,64.29,18.72,5.69,2.98,1.17,2.69,0.66,0.05,0.06,0.34,96.65,102.19,2.16,1.91,10.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,0.48,373,4.6,16.13,25.91,45.33,58.4,29.6,1,130,195,35.6,91,58,54,6,42,57.66,58.25,65.24,75.36,,,,,,,,,,,,,,,
23-Jul-21,64.41,19.04,5.53,2.97,1.16,2.71,0.66,0.05,0.06,0.34,96.93,101.21,2.24,1.86,9.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,0.48,370,4.9,14.61,24.67,43.29,55.67,29.4,1,125,210,,,,,,,,,,,,,,,,,,,,,,,,,
26-Jul-21,64.02,19.07,5.21,3.1,1.57,2.71,0.6,0.05,0.02,0.34,96.69,100.92,2.29,1.68,8.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,0.44,359,4.2,13.75,23.31,41.3,57.46,29.8,1,120,215,35.8,92,58,50,5.91,41.28,54.15,59.91,67.04,82.81,,,,,,,,,,,,,,,
28-Jul-21,64.14,18.89,5.31,3.15,1.52,2.96,0.63,0.05,0.01,0.34,97,101.41,2.23,1.69,8.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,0.46,373,6.5,11.15,21.68,36.69,53.71,29.6,1,140,255,36.3,90,56,48,3.1,37.36,52.21,54.24,65.5,71.78,,,,,,,,,,,,,,,
30-Jul-21,64.14,18.4,5.19,3.02,1.55,2.77,0.6,0.05,0.02,0.35,96.09,104.35,2.24,1.72,8.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,0.44,372,5.3,13.86,24.28,41.79,56.34,29.4,1,125,235,,,,,,,,,,,,,,,,,,,,,,,,,
2-Aug-21,64.66,19.32,5.65,2.91,1.02,2.81,0.66,0.05,0.06,0.33,97.47,100.06,2.26,1.94,10.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,0.48,384,3.7,16.83,29.96,49.6,64.17,29.4,1,120,210,37,91,54,51,5.55,41.03,56.89,60.76,66.47,76.99,,,,,,,,,,,,,,,
4-Aug-21,64.53,18.95,5.56,2.89,0.99,2.98,0.63,0.05,0.05,0.32,96.95,101.54,2.24,1.92,9.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,0.46,377,3.6,15.37,25.46,47.93,63.74,29.8,1,135,205,36.6,92,59,55,5.4,37.89,55.24,58.22,62.38,74.25,,,,,,,,,,,,,,,
6-Aug-21,64.27,18.49,5.09,3.19,1.42,2.65,0.59,0.05,0.02,0.32,96.09,104.28,2.23,1.6,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,0.44,359,4,16.09,25.82,44.24,54.41,30,1,125,190,,,,,,,,,,,,,,,,,,,,,,,,,
9-Aug-21,64.7,18.4,4.98,3.24,1.4,2.86,0.6,0.05,0.02,0.32,96.57,105.37,2.24,1.54,7.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,0.44,373,4.5,14.99,27.41,43.62,56.89,29.8,1,150,210,36.6,93,57,51,6.66,44.88,57.58,62.03,66.78,71.25,,,,,,,,,,,,,,,
11-Aug-21,64.73,18.2,4.55,3.17,1.47,2.74,0.59,0.05,0.01,0.29,95.8,107.57,2.36,1.44,6.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,0.44,371,4.3,14.19,25.87,40.07,53.73,29.8,1,120,200,36.1,90,55,48,5.82,41.52,55.38,57.81,66.86,81.73,,,,,,,,,,,,,,,
13-Aug-21,64.63,18.27,4.8,3.36,1.56,2.74,0.7,0.05,0.03,0.29,95.8,106.28,2.24,1.43,7.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,0.51,369,4.7,16,27.57,42.69,54.76,29.6,1,115,195,,,,,,,,,,,,,,,,,,,,,,,,,
16-Aug-21,64.68,18.8,4.92,3.31,1.39,2.7,0.63,0.05,0.01,0.32,96.81,103.62,2.28,1.49,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,0.46,373,4.4,16.41,27.81,44.2,56.48,29.6,1,120,195,36.1,92,58,54,6.21,42.42,57.52,61.04,68.04,77.99,,,,,,,,,,,,,,,
18-Aug-21,64.65,18.73,4.95,3.28,1.41,2.97,0.68,0.05,0.01,0.32,97.05,103.57,2.28,1.51,7.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,0.5,389,4.4,17.42,29.38,44.45,55.63,29.4,1,135,215,,,,,,,,,,,,,,,,,,,,,,,,,
